Region Name,Region Type,Type,Current,Year Over Year
Texas,state,All Homes,"$195,000 ",8.3%
Abilene Metro,metro,All Homes,"$124,200 ",4.3%
Alice Metro,metro,All Homes,"$93,200 ",-1.7%
Amarillo Metro,metro,All Homes,"$142,300 ",6.3%
Andrews Metro,metro,All Homes,---,---
Athens Metro,metro,All Homes,"$156,700 ",13.7%
Austin-Round Rock Metro,metro,All Homes,"$308,200 ",6.9%
Bay City Metro,metro,All Homes,"$142,600 ",6.3%
Beaumont-Port Arthur Metro,metro,All Homes,"$117,300 ",16.6%
Beeville Metro,metro,All Homes,"$120,400 ",8.0%
Big Spring Metro,metro,All Homes,---,---
Bonham Metro,metro,All Homes,---,---
Borger Metro,metro,All Homes,---,---
Brenham Metro,metro,All Homes,"$187,300 ",2.1%
Brownsville-Harlingen Metro,metro,All Homes,"$94,500 ",7.9%
Brownwood Metro,metro,All Homes,"$88,700 ",6.1%
College Station-Bryan Metro,metro,All Homes,"$204,400 ",7.0%
Corpus Christi Metro,metro,All Homes,"$152,400 ",5.9%
Corsicana Metro,metro,All Homes,"$97,900 ",5.8%
Dallas-Fort Worth-Arlington Metro,metro,All Homes,"$242,600 ",10.6%
Del Rio Metro,metro,All Homes,---,---
Dumas Metro,metro,All Homes,"$122,500 ",9.5%
Eagle Pass Metro,metro,All Homes,"$134,800 ",6.6%
El Campo Metro,metro,All Homes,"$135,400 ",8.0%
El Paso Metro,metro,All Homes,"$125,300 ",5.5%
Fredericksburg Metro,metro,All Homes,"$309,500 ",10.7%
Gainesville Metro,metro,All Homes,"$144,300 ",9.7%
Houston-The Woodlands-Sugar Land Metro,metro,All Homes,"$205,500 ",6.8%
Huntsville Metro,metro,All Homes,"$171,300 ",8.9%
Jacksonville Metro,metro,All Homes,"$92,400 ",7.6%
Kerrville Metro,metro,All Homes,"$211,500 ",15.0%
Killeen-Temple Metro,metro,All Homes,"$137,400 ",7.9%
Kingsville Metro,metro,All Homes,"$112,700 ",2.0%
Lamesa Metro,metro,All Homes,"$78,400 ",4.7%
Laredo Metro,metro,All Homes,"$142,900 ",8.1%
Levelland Metro,metro,All Homes,"$108,100 ",5.1%
Longview Metro,metro,All Homes,"$133,600 ",-8.7%
Lubbock Metro,metro,All Homes,"$131,900 ",3.3%
Lufkin Metro,metro,All Homes,---,---
Marshall Metro,metro,All Homes,---,---
McAllen-Edinburg-Mission Metro,metro,All Homes,"$101,000 ",8.3%
Midland Metro,metro,All Homes,"$258,700 ",23.4%
Mineral Wells Metro,metro,All Homes,"$116,100 ",6.2%
Mount Pleasant Metro,metro,All Homes,"$120,700 ",6.5%
Nacogdoches Metro,metro,All Homes,---,---
Odessa Metro,metro,All Homes,"$169,300 ",18.1%
Palestine Metro,metro,All Homes,"$98,600 ",4.9%
Pampa Metro,metro,All Homes,"$81,000 ",4.4%
Paris Metro,metro,All Homes,---,---
Pecos Metro,metro,All Homes,---,7.0%
Plainview Metro,metro,All Homes,"$76,200 ",10.3%
Port Lavaca Metro,metro,All Homes,"$140,300 ",---
Raymondville Metro,metro,All Homes,---,-7.8%
Rio Grande City Metro,metro,All Homes,"$68,500 ",3.5%
San Angelo Metro,metro,All Homes,"$142,900 ",7.0%
San Antonio-New Braunfels Metro,metro,All Homes,"$192,800 ",---
Sherman-Denison Metro,metro,All Homes,---,---
Snyder Metro,metro,All Homes,---,18.1%
Stephenville Metro,metro,All Homes,"$150,900 ",---
Sulphur Springs Metro,metro,All Homes,---,10.4%
Sweetwater Metro,metro,All Homes,"$73,100 ",18.3%
Texarkana Metro,metro,All Homes,"$109,100 ",9.6%
Tyler Metro,metro,All Homes,"$159,400 ",5.9%
Uvalde Metro,metro,All Homes,"$115,900 ",8.3%
Vernon Metro,metro,All Homes,"$65,500 ",14.8%
Victoria Metro,metro,All Homes,"$172,700 ",7.9%
Waco Metro,metro,All Homes,"$144,700 ",8.6%
Wichita Falls Metro,metro,All Homes,"$93,300 ",---
