Table Q1.  New Privately Owned Housing Units Started in the United States by Purpose and Design,,,,,,,,,,,,,,,,,,,
[Thousands of units.  Detail may not add to totals due to rounding],,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Single-family units,,,,,,,,,,,,,,,,,,,
Period,,Total1,Purpose of construction,,,,Design type,,Square feet of floor area,,,,,,,,,,
,,,Built for sale,,Contractor,Owner,,,,,,,,,,,,,
,,,Total,Fee simple2,built,built,Detached,Attached,Median,Average,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ANNUAL DATA:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2015,,715 ,526 ,506 ,109 ,50 ,629 ,86 ,"2,466 ","2,689 ",,,,,,,,,
2016,,782 ,579 ,562 ,116 ,49 ,683 ,98 ,"2,423 ","2,624 ",,,,,,,,,
2017,,849 ,635 ,612 ,116 ,55 ,743 ,106 ,"2,385 ","2,599 ",,,,,,,,,
,, , , , , , , , , ,,,,,,,,,
RSE (%),,1 ,3 ,3 ,11 ,12 ,1 ,8 ,2 ,2 ,,,,,,,,,
,, , , , , , , , , ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
QUARTERLY DATA:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2015:  1st quarter,,140 ,112 ,109 ,18 ,7 ,126 ,14 ,"2,519 ","2,736 ",,,,,,,,,
2nd quarter,,205 ,152 ,146 ,30 ,15 ,181 ,24 ,"2,478 ","2,704 ",,,,,,,,,
3rd quarter,,203 ,147 ,142 ,33 ,14 ,177 ,27 ,"2,440 ","2,649 ",,,,,,,,,
4th quarter,,166 ,118 ,113 ,28 ,13 ,145 ,21 ,"2,442 ","2,674 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2016:  1st quarter,,170 ,131 ,128 ,24 ,8 ,148 ,22 ,"2,465 ","2,658 ",,,,,,,,,
2nd quarter,,218 ,159 ,155 ,33 ,14 ,189 ,29 ,"2,386 ","2,620 ",,,,,,,,,
3rd quarter,,206 ,150 ,145 ,34 ,15 ,184 ,22 ,"2,391 ","2,593 ",,,,,,,,,
4th quarter,,187 ,138 ,133 ,29 ,12 ,163 ,24 ,"2,440 ","2,652 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,
